,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,,
Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,,
1,Patrick van Aanholt,DF,nl Netherlands,30,1990,3.3,178,155,23,0,1,10,4,7,0,0,0,0,119,36,23,124,29,1,23,1,140,0,3,8,4,,
2,Francesco Acerbi,DF,it Italy,32,1988,2.6,168,161,7,3,0,11,4,0,0,0,0,0,136,11,21,140,20,5,0,0,160,1,1,0,0,,
3,Che Adams,FW,sct Scotland,24,1996,2.4,52,51,1,0,0,15,4,1,0,0,0,0,32,11,9,3,45,1,0,1,42,0,1,2,2,,
4,Arijan Ademi,MF,mk N. Macedonia,29,1991,2.8,93,92,1,1,0,20,2,1,0,0,0,0,79,6,8,13,73,5,0,0,83,0,1,4,0,,
5,Manuel Akanji,DF,ch Switzerland,25,1995,5.7,287,273,14,12,0,36,6,0,0,0,0,0,237,12,38,90,183,9,2,0,261,1,3,4,6,,
6,Nathan Aké,DF,nl Netherlands,25,1995,0.6,35,34,1,1,0,3,0,1,0,0,0,0,32,0,3,30,4,1,0,0,32,0,0,0,0,,
7,David Alaba,DF,at Austria,28,1992,4.3,334,280,54,9,0,48,16,8,17,7,8,0,227,50,57,263,37,5,28,0,275,2,12,5,12,,
8,Jordi Alba,DF,es Spain,31,1989,6.2,589,514,75,18,1,40,7,21,0,0,0,0,434,92,63,442,74,14,57,0,504,1,6,17,14,,
9,Thiago Alcántara,MF,es Spain,29,1991,0.8,89,85,4,3,1,12,8,0,1,1,0,0,66,10,13,5,81,1,0,0,73,0,3,2,2,,
10,Toby Alderweireld,DF,be Belgium,31,1989,4,306,293,13,10,0,17,14,0,0,0,0,0,235,14,57,48,236,14,3,0,267,2,1,10,3,,
11,Nikolai Alho,DF,fi Finland,27,1993,0.2,7,7,0,0,0,0,0,1,0,0,0,0,4,0,3,0,7,0,0,0,4,0,0,0,0,,
12,Ezgjan Alioski,DF,mk N. Macedonia,28,1992,3,169,119,50,6,0,25,9,8,3,3,0,0,83,41,45,109,11,6,41,0,125,0,3,6,7,,
13,Joe Allen,MF,wls Wales,30,1990,3.7,131,127,4,2,0,22,2,0,1,0,0,0,106,12,13,17,105,5,1,2,113,0,3,3,1,,
14,Ethan Ampadu,DFMF,wls Wales,20,2000,0.8,31,29,2,2,0,4,1,0,0,0,0,0,24,3,4,5,25,1,0,0,27,0,1,1,0,,
15,Joachim Andersen,DF,dk Denmark,24,1996,0.7,38,37,1,0,0,0,1,0,0,0,0,0,31,1,6,2,34,1,1,0,36,0,2,0,0,,
16,Paulus Arajuuri,DF,fi Finland,32,1988,3,84,80,4,4,0,9,1,0,0,0,0,0,73,2,9,14,65,3,0,0,80,0,1,0,0,,
17,Stuart Armstrong,MF,sct Scotland,28,1992,1.7,60,55,5,2,0,19,3,4,1,1,0,0,38,11,11,14,44,1,0,0,48,0,2,3,1,,
18,Marko Arnautović,FW,at Austria,31,1989,2.4,67,65,2,0,0,23,0,1,0,0,0,0,42,15,10,6,46,5,1,2,46,0,2,5,3,,
19,Ludwig Augustinsson,DF,se Sweden,26,1994,3.9,128,99,29,2,0,25,6,13,1,1,0,0,45,29,54,78,15,6,26,0,81,0,2,3,5,,
20,Daniel Avramovski,MF,mk N. Macedonia,25,1995,0.2,4,3,1,1,0,2,0,0,0,0,0,0,3,1,0,4,0,0,0,0,4,0,0,0,0,,
21,Kaan Ayhan,MFDF,tr Turkey,26,1994,2,126,125,1,1,0,8,9,1,0,0,0,0,100,12,14,10,109,6,0,0,117,0,0,1,2,,
22,César Azpilicueta,DF,es Spain,31,1989,4.4,318,285,33,3,0,28,4,4,0,0,0,0,235,45,38,20,257,9,30,0,279,0,1,10,6,,
23,Daniel Bachmann,GK,at Austria,26,1994,4.3,153,115,38,8,0,19,6,0,0,0,0,0,92,6,55,20,112,0,0,20,120,0,3,1,0,,
24,Gareth Bale,MFFW,wls Wales,31,1989,3.9,102,93,9,3,3,29,16,12,0,0,0,0,58,14,30,81,5,3,6,1,67,0,6,5,7,,
25,Antonín Barák,MF,cz Czech Republic,26,1994,2,101,88,13,4,0,14,6,6,8,6,0,0,71,7,23,83,15,2,0,0,81,0,3,3,1,,
26,Enis Bardhi,MF,mk N. Macedonia,25,1995,2.6,118,106,12,6,1,23,11,2,4,2,0,0,93,10,15,13,101,1,2,0,95,3,2,6,4,,
27,Nicolò Barella,MF,it Italy,23,1997,5.2,239,235,4,1,1,43,5,0,0,0,0,0,181,28,30,20,209,3,3,3,202,2,0,8,7,,
28,Dmitri Barinov,DFMF,ru Russia,24,1996,1.5,104,102,2,2,0,10,5,1,0,0,0,0,84,8,12,8,91,3,0,0,82,0,0,7,3,,
29,Borna Barišić,DF,hr Croatia,28,1992,0.2,15,13,2,0,0,3,0,0,0,0,0,0,11,3,1,10,2,0,2,0,12,1,0,0,0,,
30,Alessandro Bastoni,DF,it Italy,21,1999,1,83,81,2,2,0,6,3,2,0,0,0,0,67,5,11,64,12,4,0,0,78,0,1,2,1,,
31,Michy Batshuayi,MF,be Belgium,27,1993,0.2,12,12,0,0,0,2,0,0,0,0,0,0,10,2,0,1,11,0,0,0,11,0,0,0,0,,
32,Julian Baumgartlinger,MF,at Austria,33,1988,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,,
33,Christoph Baumgartner,FW,at Austria,21,1999,2.7,91,87,4,1,0,34,1,1,0,0,0,0,62,19,10,3,71,8,2,2,69,0,1,0,7,,
34,Jan Bednarek,DF,pl Poland,24,1996,2.9,158,152,6,3,0,19,8,0,0,0,0,0,129,12,17,21,124,6,3,1,145,0,2,3,1,,
35,Egzon Bejtulai,DFMF,mk N. Macedonia,27,1994,0.3,10,9,1,0,0,3,1,1,0,0,0,0,6,3,1,2,4,1,1,0,6,0,1,0,0,,
36,Jude Bellingham,MF,eng England,17,2003,0.6,22,22,0,0,0,8,1,0,0,0,0,0,18,2,2,4,17,1,0,0,18,0,0,1,2,,
37,Andrea Belotti,FW,it Italy,27,1993,2.4,33,28,5,0,0,16,1,1,0,0,0,0,18,10,5,3,26,2,0,0,22,0,1,4,4,,
38,László Bénes,MF,sk Slovakia,23,1997,0.2,15,13,2,0,0,0,0,1,1,0,1,0,10,2,3,12,1,1,1,0,13,0,0,0,0,,
39,Pierre Bengtsson,DFMF,se Sweden,32,1988,0.5,17,14,3,0,0,3,1,0,0,0,0,0,6,3,8,10,2,1,3,1,9,1,0,1,0,,
40,Loris Benito,DF,ch Switzerland,29,1992,0.1,6,5,1,0,0,0,0,0,0,0,0,0,2,3,1,3,0,2,1,0,3,0,0,0,1,,
41,Christian Benteke,FW,be Belgium,30,1990,0.1,5,5,0,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,0,0,4,0,0,0,0,,
42,Karim Benzema,FW,fr France,33,1987,3.8,139,129,10,0,0,25,0,3,0,0,0,0,118,16,5,17,116,4,0,1,121,1,1,6,6,,
43,Domenico Berardi,FW,it Italy,26,1994,4.2,138,130,8,2,1,37,5,6,5,3,1,0,95,25,18,117,14,3,1,2,103,1,2,5,11,,
44,Bartosz Bereszyński,DF,pl Poland,28,1992,3,206,186,20,4,0,23,4,6,0,0,0,0,146,22,38,14,163,8,16,0,166,0,2,10,4,,
45,Marcus Berg,FW,se Sweden,34,1986,2,42,42,0,0,0,15,1,0,0,0,0,0,17,12,13,6,24,7,0,1,25,0,1,0,3,,
