Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,,
1,Patrick van Aanholt,DF,nl Netherlands,30,1990,3.3,140,178,78.7,2367,709,72,81,88.9,53,69,76.8,12,19,63.2,0,0.4,-0.4,3,7,2,0,10,,
2,Francesco Acerbi,DF,it Italy,32,1988,2.6,160,168,95.2,3085,886,69,70,98.6,61,63,96.8,27,32,84.4,1,0.3,0.7,3,14,0,0,14,,
3,Che Adams,FW,sct Scotland,24,1996,2.4,42,52,80.8,774,120,21,22,95.5,12,18,66.7,7,8,87.5,0,0.4,-0.4,2,2,3,1,4,,
4,Arijan Ademi,MF,mk N. Macedonia,29,1991,2.8,83,93,89.2,1300,344,43,47,91.5,34,39,87.2,5,6,83.3,0,0,0,1,4,0,0,9,,
5,Manuel Akanji,DF,ch Switzerland,25,1995,5.7,261,287,90.9,5381,2015,81,85,95.3,140,145,96.6,35,48,72.9,0,0,0,1,15,1,0,18,,
6,Nathan Aké,DF,nl Netherlands,25,1995,0.6,32,35,91.4,674,90,7,7,100,21,24,87.5,4,4,100,1,0,1,1,1,1,1,0,,
7,David Alaba,DF,at Austria,28,1992,4.3,275,334,82.3,5686,1951,95,103,92.2,133,146,91.1,46,74,62.2,2,0.8,1.2,10,17,4,1,29,,
8,Jordi Alba,DF,es Spain,31,1989,6.2,504,589,85.6,8597,2752,247,267,92.5,206,240,85.8,45,64,70.3,1,1.5,-0.5,11,49,16,6,43,,
9,Thiago Alcántara,MF,es Spain,29,1991,0.8,73,89,82,1593,285,26,32,81.3,32,34,94.1,15,22,68.2,0,0.1,-0.1,2,6,1,0,8,,
10,Toby Alderweireld,DF,be Belgium,31,1989,4,267,306,87.3,5624,1494,95,101,94.1,132,142,93,40,58,69,0,0,0,0,22,3,0,10,,
11,Nikolai Alho,DF,fi Finland,27,1993,0.2,4,7,57.1,47,11,3,3,100,1,2,50,0,2,0,0,0,0,0,0,0,0,0,,
12,Ezgjan Alioski,DF,mk N. Macedonia,28,1992,3,125,169,74,2305,1125,59,63,93.7,48,60,80,17,37,45.9,0,0.2,-0.2,3,10,3,2,17,,
13,Joe Allen,MF,wls Wales,30,1990,3.7,113,131,86.3,2125,433,43,49,87.8,53,59,89.8,15,20,75,0,0,0,1,10,0,0,5,,
14,Ethan Ampadu,DFMF,wls Wales,20,2000,0.8,27,31,87.1,556,158,7,7,100,14,16,87.5,5,7,71.4,0,0,0,1,3,1,0,4,,
15,Joachim Andersen,DF,dk Denmark,24,1996,0.7,36,38,94.7,774,281,12,12,100,17,17,100,7,9,77.8,0,0,0,0,5,1,0,5,,
16,Paulus Arajuuri,DF,fi Finland,32,1988,3,80,84,95.2,1542,471,29,29,100,40,41,97.6,11,14,78.6,0,0,0,0,1,1,0,5,,
17,Stuart Armstrong,MF,sct Scotland,28,1992,1.7,48,60,80,920,268,16,22,72.7,25,28,89.3,5,7,71.4,0,0.3,-0.3,2,5,4,1,9,,
18,Marko Arnautović,FW,at Austria,31,1989,2.4,46,67,68.7,669,120,27,39,69.2,16,19,84.2,1,3,33.3,0,0.2,-0.2,4,2,4,1,3,,
19,Ludwig Augustinsson,DF,se Sweden,26,1994,3.9,81,128,63.3,1439,616,36,41,87.8,32,50,64,9,30,30,0,0,0,1,7,1,1,7,,
20,Daniel Avramovski,MF,mk N. Macedonia,25,1995,0.2,4,4,100,100,0,0,0,,3,3,100,1,1,100,0,0,0,0,0,0,0,0,,
21,Kaan Ayhan,MFDF,tr Turkey,26,1994,2,117,126,92.9,2346,705,43,44,97.7,54,55,98.2,19,24,79.2,0,0.3,-0.3,2,11,1,0,9,,
22,César Azpilicueta,DF,es Spain,31,1989,4.4,279,318,87.7,5016,1682,113,123,91.9,147,165,89.1,19,25,76,0,0.3,-0.3,4,32,3,1,27,,
23,Daniel Bachmann,GK,at Austria,26,1994,4.3,120,153,78.4,3364,2063,28,28,100,45,45,100,44,77,57.1,0,0,0,0,1,0,0,0,,
24,Gareth Bale,MFFW,wls Wales,31,1989,3.9,67,102,65.7,1712,659,15,19,78.9,34,42,81,18,34,52.9,2,1.6,0.4,6,13,9,2,17,,
25,Antonín Barák,MF,cz Czech Republic,26,1994,2,81,101,80.2,1462,428,38,40,95,31,37,83.8,11,21,52.4,0,0.3,-0.3,4,3,2,1,4,,
26,Enis Bardhi,MF,mk N. Macedonia,25,1995,2.6,95,118,80.5,1977,428,32,37,86.5,39,45,86.7,18,26,69.2,0,0.4,-0.4,5,12,3,1,8,,
27,Nicolò Barella,MF,it Italy,23,1997,5.2,202,239,84.5,3281,920,111,122,91,66,81,81.5,20,25,80,1,0.4,0.6,9,16,8,0,27,,
28,Dmitri Barinov,DFMF,ru Russia,24,1996,1.5,82,104,78.8,1586,457,36,42,85.7,31,39,79.5,13,18,72.2,0,0,0,0,8,0,0,6,,
29,Borna Barišić,DF,hr Croatia,28,1992,0.2,12,15,80,188,117,6,8,75,6,6,100,0,1,0,0,0,0,0,0,0,0,0,,
30,Alessandro Bastoni,DF,it Italy,21,1999,1,78,83,94,1560,405,26,26,100,37,38,97.4,12,15,80,0,0.4,-0.4,3,3,1,1,4,,
31,Michy Batshuayi,MF,be Belgium,27,1993,0.2,11,12,91.7,139,26,6,6,100,4,4,100,0,0,,0,0,0,0,0,0,0,0,,
32,Julian Baumgartlinger,MF,at Austria,33,1988,0,2,2,100,31,4,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,,
33,Christoph Baumgartner,FW,at Austria,21,1999,2.7,69,91,75.8,953,188,47,55,85.5,17,22,77.3,3,6,50,0,0.1,-0.1,1,4,0,0,4,,
34,Jan Bednarek,DF,pl Poland,24,1996,2.9,145,158,91.8,3498,734,30,33,90.9,74,77,96.1,39,45,86.7,0,0,0,0,12,0,0,11,,
35,Egzon Bejtulai,DFMF,mk N. Macedonia,27,1994,0.3,6,10,60,126,63,1,2,50,3,5,60,1,2,50,0,0,0,0,0,0,0,0,,
36,Jude Bellingham,MF,eng England,17,2003,0.6,18,22,81.8,320,35,9,10,90,7,8,87.5,2,2,100,0,0,0,0,0,0,0,0,,
37,Andrea Belotti,FW,it Italy,27,1993,2.4,22,33,66.7,331,34,13,16,81.3,5,9,55.6,2,3,66.7,0,0,0,1,0,1,0,2,,
38,László Bénes,MF,sk Slovakia,23,1997,0.2,13,15,86.7,247,49,4,4,100,8,9,88.9,1,2,50,0,0,0,1,1,0,0,0,,
39,Pierre Bengtsson,DFMF,se Sweden,32,1988,0.5,9,17,52.9,207,115,3,4,75,3,6,50,2,6,33.3,0,0,0,0,1,0,0,1,,
40,Loris Benito,DF,ch Switzerland,29,1992,0.1,3,6,50,31,19,2,3,66.7,1,1,100,0,0,,0,0,0,0,0,0,0,0,,
41,Christian Benteke,FW,be Belgium,30,1990,0.1,4,5,80,50,0,2,3,66.7,0,0,,1,1,100,0,0,0,0,0,0,0,0,,
42,Karim Benzema,FW,fr France,33,1987,3.8,121,139,87.1,1797,384,80,86,93,36,42,85.7,5,5,100,0,0.2,-0.2,3,9,1,0,9,,
43,Domenico Berardi,FW,it Italy,26,1994,4.2,103,138,74.6,1725,403,58,71,81.7,30,35,85.7,14,22,63.6,1,1.1,-0.1,10,2,6,2,11,,
44,Bartosz Bereszyński,DF,pl Poland,28,1992,3,166,206,80.6,3197,1279,59,70,84.3,87,99,87.9,18,32,56.3,0,0,0,0,20,6,2,19,,
45,Marcus Berg,FW,se Sweden,34,1986,2,25,42,59.5,310,81,19,28,67.9,4,8,50,1,2,50,0,0.2,-0.2,1,1,1,0,3,,
46,Steven Berghuis,DFFW,nl Netherlands,29,1991,0.6,22,37,59.5,398,154,11,15,73.3,9,11,81.8,2,8,25,0,0.1,-0.1,2,2,1,0,5,,
47,Federico Bernardeschi,FW,it Italy,26,1994,1.4,32,51,62.7,417,125,24,25,96,7,14,50,1,8,12.5,0,0.4,-0.4,4,1,3,0,3,,
48,Artem Besyedin,FWDF,ua Ukraine,24,1996,0.4,8,10,80,145,25,5,6,83.3,2,3,66.7,1,1,100,0,0,0,1,0,0,0,1,,
49,Roman Bezus,MF,ua Ukraine,30,1990,0,1,1,100,18,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,,
50,Daley Blind,DF,nl Netherlands,30,1990,3.3,278,309,90,5260,2797,106,108,98.1,141,151,93.4,28,44,63.6,0,0.6,-0.6,2,44,7,1,45,,
51,Nicolai Boilesen,DF,dk Denmark,28,1992,0.2,4,5,80,56,19,3,4,75,1,1,100,0,0,,0,0,0,0,0,0,0,0,,
