Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Luis Abram,pe PER,DF,Granada,25,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,Matches,1f462f95
2,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,31,26,2260,25.1,1,3,1,0,0,10,0,0.04,0.12,0.16,0.04,0.16,1.4,1.4,3.0,4.4,0.06,0.12,0.18,0.06,0.18,Matches,81442ecb
3,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,24,17,1616,18.0,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,1.0,1.2,0.01,0.05,0.07,0.01,0.07,Matches,355c883a
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a2c1a8d3
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,Matches,4d034881
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,93b054dc
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,32,30,2637,29.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.5,0.01,0.00,0.02,0.01,0.02,Matches,18abe173
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,25,21,1844,20.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.02,0.02,0.04,0.02,0.04,Matches,f2a68b97
9,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34,Matches,b8bd60fe
10,Paul Akouokou,ci CIV,MF,Betis,23,1997,8,6,516,5.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,31f5b89b
11,David Alaba,at AUT,DF,Real Madrid,29,1992,30,30,2642,29.4,2,3,2,0,0,2,0,0.07,0.10,0.17,0.07,0.17,1.6,1.6,2.4,3.9,0.05,0.08,0.13,0.05,0.13,Matches,05439de2
12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,23,16,1425,15.8,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,1.0,1.0,1.1,2.1,0.06,0.07,0.14,0.06,0.14,Matches,99ea2ddd
13,Jordi Alba,es ESP,DF,Barcelona,32,1989,30,30,2644,29.4,2,10,2,0,0,11,0,0.07,0.34,0.41,0.07,0.41,1.3,1.3,5.9,7.1,0.04,0.20,0.24,0.04,0.24,Matches,4601e194
14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,28,28,2465,27.4,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.02,0.00,0.02,0.02,0.02,Matches,4bd414c1
15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,18,10,787,8.7,1,3,1,0,0,1,0,0.11,0.34,0.46,0.11,0.46,3.7,3.7,1.7,5.5,0.43,0.20,0.63,0.43,0.63,Matches,a7a9d95a
